Date,Open,High,Low,Close,Adjusted Close,Volume,Name
2024-06-07,248.77,249.63,246.44,247.89,246.95,84809996.0,Amazon.com Inc.
2024-06-06,247.63,248.85,247.1,248.77,247.04,74062169.0,Amazon.com Inc.
2024-06-05,240.65,249.11,239.52,247.63,249.06,73945578.0,Amazon.com Inc.
2024-06-04,239.94,240.65,239.1,240.65,242.54,92019117.0,Amazon.com Inc.
2024-06-03,241.65,242.53,239.36,239.94,240.1,78688729.0,Amazon.com Inc.
2024-05-31,240.54,243.34,239.54,241.65,242.23,88142766.0,Amazon.com Inc.
2024-05-30,234.37,241.62,233.99,240.54,241.96,57395350.0,Amazon.com Inc.
2024-05-29,237.37,238.02,233.51,234.37,232.68,93922119.0,Amazon.com Inc.
2024-05-28,231.03,238.8,230.98,237.37,236.59,86940933.0,Amazon.com Inc.
2024-05-27,225.81,231.78,225.15,231.03,231.62,72620709.0,Amazon.com Inc.
2024-05-24,223.33,226.01,222.11,225.81,227.79,59451337.0,Amazon.com Inc.
2024-05-23,223.36,224.97,223.26,223.33,221.61,75554173.0,Amazon.com Inc.
2024-05-22,219.16,224.32,217.5,223.36,223.92,91758730.0,Amazon.com Inc.
2024-05-21,217.92,219.29,217.28,219.16,220.94,58357956.0,Amazon.com Inc.
2024-05-20,218.48,219.6,217.01,217.92,218.11,72674714.0,Amazon.com Inc.
2024-05-17,213.11,221.56,212.85,218.48,217.98,57726890.0,Amazon.com Inc.
2024-05-16,212.71,213.42,212.66,213.11,214.81,99282339.0,Amazon.com Inc.
2024-05-15,212.8,213.37,211.09,212.71,211.57,62920739.0,Amazon.com Inc.
2024-05-14,210.79,213.04,208.99,212.8,212.81,77695858.0,Amazon.com Inc.
2024-05-13,211.32,212.96,210.03,210.79,211.84,70154994.0,Amazon.com Inc.
2024-05-10,215.47,216.84,210.75,211.32,210.48,52244702.0,Amazon.com Inc.
2024-05-09,218.35,219.86,214.81,215.47,215.31,55525633.0,Amazon.com Inc.
2024-05-08,220.41,222.71,217.8,218.35,217.81,76873516.0,Amazon.com Inc.
2024-05-07,217.11,220.68,215.44,220.41,220.14,65043403.0,Amazon.com Inc.
2024-05-06,214.74,217.68,213.99,217.11,218.48,61618627.0,Amazon.com Inc.
2024-05-03,210.99,215.27,210.9,214.74,214.28,95103150.0,Amazon.com Inc.
2024-05-02,214.98,215.74,210.02,210.99,212.59,58514716.0,Amazon.com Inc.
2024-05-01,217.88,218.5,214.48,214.98,214.38,89910660.0,Amazon.com Inc.
2024-04-30,217.84,218.1,217.09,217.88,217.98,86982407.0,Amazon.com Inc.
2024-04-29,212.77,217.96,212.2,217.84,218.56,51805468.0,Amazon.com Inc.
2024-04-26,211.08,212.99,210.17,212.77,214.11,59828366.0,Amazon.com Inc.
2024-04-25,209.48,211.77,209.25,211.08,209.66,78614327.0,Amazon.com Inc.
2024-04-24,204.85,209.52,204.8,209.48,208.07,93842483.0,Amazon.com Inc.
2024-04-23,203.63,206.82,203.36,204.85,203.63,60688727.0,Amazon.com Inc.
2024-04-22,199.91,204.83,199.08,203.63,204.83,66643948.0,Amazon.com Inc.
2024-04-19,198.71,200.46,198.66,199.91,198.47,61606243.0,Amazon.com Inc.
2024-04-18,196.05,199.75,195.19,198.71,200.07,66413486.0,Amazon.com Inc.
2024-04-17,198.9,199.01,195.46,196.05,196.34,55397662.0,Amazon.com Inc.
2024-04-16,199.32,200.11,198.41,198.9,199.86,72468492.0,Amazon.com Inc.
2024-04-15,197.17,199.85,196.51,199.32,197.59,87612325.0,Amazon.com Inc.
2024-04-12,194.52,197.67,193.96,197.17,195.91,89367797.0,Amazon.com Inc.
2024-04-11,196.2,197.19,193.12,194.52,196.23,69908425.0,Amazon.com Inc.
2024-04-10,194.2,197.16,192.29,196.2,197.11,57583354.0,Amazon.com Inc.
2024-04-09,188.97,194.26,188.04,194.2,192.74,91259524.0,Amazon.com Inc.
2024-04-08,191.56,192.62,187.58,188.97,190.72,96982977.0,Amazon.com Inc.
2024-04-05,191.08,192.08,190.2,191.56,192.83,81738453.0,Amazon.com Inc.
2024-04-04,192.55,193.49,190.89,191.08,192.72,56097091.0,Amazon.com Inc.
2024-04-03,188.31,192.91,187.28,192.55,191.97,59803005.0,Amazon.com Inc.
2024-04-02,183.32,188.98,182.78,188.31,187.98,60750240.0,Amazon.com Inc.
2024-04-01,180.0,184.63,178.48,183.32,183.22,91108406.0,Amazon.com Inc.
